Feature,Importance
Age,0.1398871058590024
BMI,0.0632537559592454
Age_Comorbidity,0.061331552864412144
LOS_Diagnoses,0.053139380809392796
TimeInHospital,0.045463221245538
NumberOfMedications,0.04207462057785484
NumberOfLabProcedures,0.03835053312386273
AgeGroup_Elderly,0.037034006335261965
TotalPreviousVisits,0.03147915020839424
PriorAdmissions,0.026879367950915656
NumberOfDiagnoses,0.02460404701979734
NumberOfProcedures,0.021210383207498434
RiskFactorCount,0.01806614620442417
DischargeDisposition_Skilled Nursing,0.017909004615049427
AdmissionType_Emergency,0.017852683222914348
ComorbidityCount,0.01750480495909599
MaxGluSerum_Normal,0.016782993849621904
PrimaryDiagnosis_Stroke,0.015737820175394792
PayerCode_Self-Pay,0.013052615376297025
PrimaryDiagnosis_Heart Failure,0.011600554852484093
DischargeDisposition_Rehab,0.011297146820919568
PayerCode_Private,0.01040549377705699
AgeGroup_Middle,0.010393705663736612
PayerCode_Medicare,0.010386993850973456
LOSCategory_Medium,0.010145481169460497
PrimaryDiagnosis_Other,0.010141283904300162
PayerCode_Other,0.010079867594713373
MedicalSpecialty_Surgery,0.00916097533167245
MedicalSpecialty_Family Practice,0.008504159319624421
LOSCategory_Short,0.008373531505784536
HasHypertension,0.008169000582621076
PrimaryDiagnosis_Diabetes,0.008163750209789473
AdmissionType_Urgent,0.007891154307350332
AdmissionSource_Transfer,0.007679978835806265
Metformin_Yes,0.007491735461368844
DischargeDisposition_Other,0.00743556906989199
NumberOfEmergencyVisits,0.007187795288580467
A1CResult_Normal,0.0070459306210398824
PrimaryDiagnosis_Fracture,0.006917058703723987
Insulin_Yes,0.006645119207564449
MedicalSpecialty_Other,0.006431294387701752
AgeGroup_Senior,0.006358605597282607
PrimaryDiagnosis_Kidney Disease,0.006162797092615335
AdmissionSource_Physician Referral,0.006094013110817655
SmokingStatus_Former,0.0059167540829638664
HasRenalDisease,0.005635469224374655
DiabetesMed_Yes,0.005620263463599598
DischargeDisposition_Home with Service,0.0054289385376987825
Race_Caucasian,0.005410353443616464
PrimaryDiagnosis_Cancer,0.005011317982037312
MedicalSpecialty_Internal Medicine,0.004870119936238093
SmokingStatus_Never,0.004717071604562487
MedicalSpecialty_Nephrology,0.004547290416443759
HasDiabetes,0.004249154497424775
HasHeartDisease,0.004241529391021264
PrimaryDiagnosis_Sepsis,0.0035793885803066584
Gender_Male,0.003526490240631066
AdmissionSource_Other,0.0035073739009621858
MedicalSpecialty_Pulmonology,0.0034632763823398208
Race_Hispanic,0.0033742886614239647
MedicalSpecialty_Emergency,0.0033462460197669934
PrimaryDiagnosis_Pneumonia,0.0031025837766481667
MedicalSpecialty_Oncology,0.003082276213141068
Race_Other,0.0030012551554100112
Race_Asian,0.002592368658535233
